timestamp,arbitration_id,id_hex,message_name,ecu,asset,dlc,b0,b1,b2,b3,b4,b5,b6,b7,label,attack_type
0.0,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,54,0,200,50,0,0,0,0,normal,none
0.0,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,208,139,0,0,0,0,0,0,normal,none
0.0,416,0x1A0,BMS_State,BatteryECU,Battery Management (BMS),8,52,33,100,25,171,15,0,0,normal,none
0.0,672,0x2A0,CHG_Status,ChargingECU,Charging Controller,8,0,133,19,0,0,0,0,0,normal,none
0.0,432,0x1B0,BMS_Current,BatteryECU,Battery Management (BMS),8,142,118,0,0,0,0,0,0,normal,none
0.01917,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,122,141,0,0,0,0,0,0,normal,none
0.02018,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,108,0,200,50,0,0,0,0,normal,none
0.03931,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,122,141,0,0,0,0,0,0,normal,none
0.03956,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,108,0,200,50,0,0,0,0,normal,none
0.05927,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,216,139,0,0,0,0,0,0,normal,none
0.06001,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,157,0,163,49,0,0,0,0,normal,none
0.07979,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,216,139,0,0,0,0,0,0,normal,none
0.08057,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,157,0,163,49,0,0,0,0,normal,none
0.09727,432,0x1B0,BMS_Current,BatteryECU,Battery Management (BMS),8,48,117,0,0,0,0,0,0,normal,none
0.09907,416,0x1A0,BMS_State,BatteryECU,Battery Management (BMS),8,52,33,100,25,167,15,0,0,normal,none
0.0994,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,157,0,163,49,0,0,0,0,normal,none
0.10016,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,187,140,0,0,0,0,0,0,normal,none
0.11836,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,187,140,0,0,0,0,0,0,normal,none
0.11862,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,211,0,200,50,0,0,0,0,normal,none
0.13869,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,187,140,0,0,0,0,0,0,normal,none
0.1387,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,211,0,200,50,0,0,0,0,normal,none
0.15809,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,109,140,0,0,0,0,0,0,normal,none
0.15851,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,9,1,197,50,0,0,0,0,normal,none
0.17724,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,109,140,0,0,0,0,0,0,normal,none
0.1785,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,9,1,197,50,0,0,0,0,normal,none
0.19612,432,0x1B0,BMS_Current,BatteryECU,Battery Management (BMS),8,164,117,0,0,0,0,0,0,normal,none
0.19712,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,109,140,0,0,0,0,0,0,normal,none
0.19799,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,9,1,197,50,0,0,0,0,normal,none
0.19925,416,0x1A0,BMS_State,BatteryECU,Battery Management (BMS),8,52,33,100,25,157,15,0,0,normal,none
0.19964,672,0x2A0,CHG_Status,ChargingECU,Charging Controller,8,0,132,19,0,0,0,0,0,normal,none
0.21737,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,209,141,0,0,0,0,0,0,normal,none
0.21851,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,63,1,200,50,0,0,0,0,normal,none
0.23639,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,209,141,0,0,0,0,0,0,normal,none
0.23898,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,63,1,200,50,0,0,0,0,normal,none
0.25681,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,53,142,0,0,0,0,0,0,normal,none
0.25902,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,117,1,200,50,0,0,0,0,normal,none
0.27727,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,53,142,0,0,0,0,0,0,normal,none
0.2797,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,117,1,200,50,0,0,0,0,normal,none
0.29508,432,0x1B0,BMS_Current,BatteryECU,Battery Management (BMS),8,48,119,0,0,0,0,0,0,normal,none
0.29553,416,0x1A0,BMS_State,BatteryECU,Battery Management (BMS),8,52,33,100,25,157,15,0,0,normal,none
0.29729,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,53,142,0,0,0,0,0,0,normal,none
0.29998,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,117,1,200,50,0,0,0,0,normal,none
0.31677,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,197,140,0,0,0,0,0,0,normal,none
0.31946,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,171,1,200,50,0,0,0,0,normal,none
0.33619,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,197,140,0,0,0,0,0,0,normal,none
0.33968,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,171,1,200,50,0,0,0,0,normal,none
0.3568,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,207,140,0,0,0,0,0,0,normal,none
0.35911,192,0x0C0,PWT_Speed,PowertrainECU,Powertrain ECU,8,225,1,200,50,0,0,0,0,normal,none
0.3759,208,0x0D0,CHS_Steering,ChassisECU,Steering/ADAS ECU,8,207,140,0,0,0,0,0,0,normal,none
