t_s,soc,current_a,voltage_v,power_kw,station_load_mw,grid_frequency_hz,label,attack_type
0,40.581,87.2,400.247,34.902,500.0349,49.9966,normal,none
1,41.152,85.603,401.035,34.33,500.0343,49.9819,normal,none
2,41.706,83.171,399.77,33.249,500.0332,50.007,normal,none
3,42.259,82.906,399.033,33.082,500.0331,49.9928,normal,none
4,42.811,82.796,400.087,33.125,500.0331,50.0043,normal,none
5,43.374,84.477,399.597,33.757,500.0338,50.0065,normal,none
6,43.922,82.156,399.268,32.802,500.0328,49.9781,normal,none
7,44.456,80.067,400.136,32.038,500.032,50.0019,normal,none
8,44.983,79.121,401.727,31.785,500.0318,49.9877,normal,none
9,45.513,79.381,400.767,31.813,500.0318,50.0004,normal,none
10,46.058,81.787,400.855,32.785,500.0328,49.9848,normal,none
11,46.594,80.46,400.315,32.209,500.0322,49.9988,normal,none
12,47.122,79.191,400.86,31.745,500.0317,50.0086,normal,none
13,47.652,79.539,400.477,31.854,500.0319,49.998,normal,none
14,48.182,79.377,399.996,31.75,500.0318,50.0034,normal,none
15,48.712,79.496,401.588,31.924,500.0319,49.9818,normal,none
16,49.244,79.875,400.121,31.96,500.032,50.0071,normal,none
17,49.77,78.94,399.599,31.544,500.0315,50.0039,normal,none
18,50.28,76.39,399.806,30.541,500.0305,50.0038,normal,none
19,50.777,74.545,399.1,29.751,500.0298,49.9972,normal,none
20,51.264,73.175,398.881,29.188,500.0292,50.0097,normal,none
21,51.761,74.44,398.848,29.69,500.0297,50.0181,normal,none
22,52.271,76.631,399.421,30.608,500.0306,49.9968,normal,none
23,52.765,73.982,399.733,29.573,500.0296,49.9886,normal,none
24,53.234,70.424,399.556,28.138,500.0281,50.0033,normal,none
25,55.234,300.0,400.767,120.23,500.03,47.0,attack,charging_attack
26,57.234,300.0,400.165,120.049,537.3104,47.466,attack,charging_attack
27,59.234,300.0,399.538,119.861,527.0471,47.3377,attack,charging_attack
28,61.234,300.0,399.305,119.792,482.3267,46.7787,attack,charging_attack
29,63.234,300.0,400.282,120.085,460.1807,46.5019,attack,charging_attack
30,65.234,300.0,399.015,119.705,488.8486,46.8603,attack,charging_attack
31,67.234,300.0,399.954,119.986,531.771,47.3968,attack,charging_attack
32,69.234,300.0,399.503,119.851,534.2085,47.4273,attack,charging_attack
33,71.234,300.0,399.445,119.833,493.0511,46.9128,attack,charging_attack
34,73.234,300.0,400.628,120.188,460.7867,46.5095,attack,charging_attack
35,75.234,300.0,400.866,120.26,478.5586,46.7317,attack,charging_attack
36,77.234,300.0,399.179,119.754,523.7051,47.296,attack,charging_attack
37,79.234,300.0,399.865,119.959,538.6463,47.4828,attack,charging_attack
38,81.234,300.0,400.495,120.148,504.3305,47.0539,attack,charging_attack
39,83.234,300.0,401.103,120.331,464.5166,46.5562,attack,charging_attack
40,85.234,300.0,401.301,120.39,469.981,46.6245,attack,charging_attack
41,85.552,47.682,399.887,19.068,500.0191,49.9938,normal,none
42,85.876,48.607,399.273,19.407,500.0194,50.0092,normal,none
43,86.19,47.152,399.565,18.84,500.0188,50.0165,normal,none
44,86.485,44.116,399.827,17.639,500.0176,50.0106,normal,none
45,86.779,44.197,399.534,17.658,500.0177,50.0227,normal,none
46,87.078,44.887,399.994,17.954,500.018,49.9821,normal,none
47,87.37,43.677,398.932,17.424,500.0174,50.0037,normal,none
48,87.662,43.826,400.888,17.569,500.0176,50.006,normal,none
49,87.951,43.372,402.65,17.464,500.0175,49.9951,normal,none
50,88.23,41.864,399.351,16.718,500.0167,49.9878,normal,none
51,88.527,44.591,402.424,17.944,500.0179,49.9954,normal,none
52,88.802,41.25,400.467,16.519,500.0165,49.9834,normal,none
53,89.098,44.337,399.208,17.7,500.0177,49.992,normal,none
54,89.372,41.052,400.686,16.449,500.0164,50.0192,normal,none
55,89.656,42.635,399.304,17.024,500.017,50.0151,normal,none
56,89.934,41.773,399.159,16.674,500.0167,50.0027,normal,none
57,90.205,40.632,399.239,16.222,500.0162,50.0052,normal,none
58,90.477,40.75,399.551,16.282,500.0163,50.0075,normal,none
59,90.757,42.032,399.446,16.789,500.0168,49.9886,normal,none
