t_s,soc,current_a,voltage_v,power_kw,station_load_mw,grid_frequency_hz,label,attack_type
0,40.576,86.401,401.858,34.721,500.0347,49.9833,normal,none
1,41.141,84.703,400.986,33.965,500.034,50.0106,normal,none
2,41.717,86.455,400.163,34.596,500.0346,50.012,normal,none
3,42.3,87.463,400.75,35.051,500.0351,50.0133,normal,none
4,42.849,82.381,398.44,32.824,500.0328,49.9974,normal,none
5,43.401,82.773,400.933,33.187,500.0332,49.9962,normal,none
6,43.952,82.556,400.051,33.027,500.033,50.0168,normal,none
7,44.501,82.36,399.796,32.927,500.0329,50.0015,normal,none
8,45.047,81.985,400.82,32.861,500.0329,49.9942,normal,none
9,45.605,83.612,400.873,33.518,500.0335,50.0074,normal,none
10,46.15,81.776,399.961,32.707,500.0327,49.9873,normal,none
11,46.679,79.37,399.474,31.706,500.0317,50.0101,normal,none
12,47.2,78.206,400.246,31.302,500.0313,50.0053,normal,none
13,47.711,76.682,399.739,30.653,500.0307,50.0013,normal,none
14,48.25,80.725,399.468,32.247,500.0322,50.0071,normal,none
15,48.774,78.706,399.288,31.426,500.0314,50.0088,normal,none
16,49.299,78.727,399.545,31.455,500.0315,50.0048,normal,none
17,49.818,77.842,399.502,31.098,500.0311,49.9862,normal,none
18,50.333,77.194,400.314,30.902,500.0309,50.0071,normal,none
19,50.851,77.798,401.209,31.213,500.0312,50.0073,normal,none
20,51.359,76.089,399.701,30.413,500.0304,50.0173,normal,none
21,51.855,74.42,399.734,29.748,500.0297,50.0062,normal,none
22,52.346,73.745,402.398,29.675,500.0297,50.0126,normal,none
23,52.843,74.483,399.375,29.747,500.0297,49.9948,normal,none
24,53.339,74.334,399.163,29.672,500.0297,50.0083,normal,none
25,53.844,75.854,398.934,30.261,500.0303,49.9975,normal,none
26,54.342,74.609,398.735,29.749,500.0297,50.0082,normal,none
27,54.824,72.349,397.597,28.766,500.0288,49.996,normal,none
28,55.292,70.204,400.532,28.119,500.0281,49.9984,normal,none
29,55.76,70.145,399.701,28.037,500.028,50.0148,normal,none
30,56.231,70.708,399.832,28.271,500.0283,50.0145,normal,none
31,56.715,72.646,399.972,29.056,500.0291,50.0002,normal,none
32,57.184,70.347,399.248,28.086,500.0281,50.0164,normal,none
33,57.663,71.797,399.101,28.654,500.0287,49.995,normal,none
34,58.114,67.679,399.088,27.01,500.027,50.0217,normal,none
35,58.585,70.669,401.148,28.349,500.0283,49.9872,normal,none
36,59.049,69.527,398.193,27.685,500.0277,49.9939,normal,none
37,59.512,69.425,398.801,27.687,500.0277,50.007,normal,none
38,59.961,67.478,399.158,26.934,500.0269,50.0094,normal,none
39,60.414,67.866,400.666,27.192,500.0272,49.9915,normal,none
40,60.853,65.849,399.0,26.274,500.0263,49.9933,normal,none
41,61.31,68.549,400.074,27.425,500.0274,50.0083,normal,none
42,61.741,64.678,400.654,25.914,500.0259,50.0137,normal,none
43,62.186,66.781,400.302,26.733,500.0267,49.9931,normal,none
44,62.616,64.408,400.067,25.768,500.0258,49.9772,normal,none
45,63.059,66.523,400.501,26.642,500.0266,50.0042,normal,none
46,63.503,66.638,399.497,26.622,500.0266,49.9917,normal,none
47,63.924,63.11,401.138,25.316,500.0253,50.008,normal,none
48,64.354,64.507,400.21,25.816,500.0258,49.9989,normal,none
49,64.793,65.747,400.023,26.3,500.0263,49.9927,normal,none
50,65.214,63.179,399.183,25.22,500.0252,50.0124,normal,none
51,65.647,64.947,399.946,25.975,500.026,50.0018,normal,none
52,66.078,64.752,401.799,26.017,500.026,49.9979,normal,none
53,66.507,64.281,399.794,25.699,500.0257,50.0011,normal,none
54,66.933,63.934,398.855,25.5,500.0255,49.991,normal,none
55,67.346,61.868,400.756,24.794,500.0248,49.9889,normal,none
56,67.765,62.842,399.864,25.128,500.0251,50.0012,normal,none
57,68.16,59.258,400.409,23.727,500.0237,49.9985,normal,none
58,68.568,61.255,399.997,24.502,500.0245,49.9831,normal,none
59,68.964,59.339,399.268,23.692,500.0237,49.9996,normal,none
